CV_CCT|CV_TURNO|TURNO|NOMBRECT|C_NOM_ENT|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|TIPO|NIVEL|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|E19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|E63|V64|V65|V66|V67|V68|V69|E70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|E94|E95|E96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|FECHA_ENTREGA|
32DJN0011E|1|MATUTINO|ADOLFO LOPEZ MATEOS|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE CINCO SEÑORES|204|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0065F|32FJZ0001A|32ADG0010O|0|I2017|0|1|0|0|0|0|1|0|24|4|0|0|0|0|0|0|0|0||28|23|0|1|24|15|0|1|16|23|0|0|23|0|0|23|23|0|0|23|23|0|0|23|0|0|23|23|0|23|0|0|23|23|23|0|0|0|0|0|1|0|0||1|0|0|0|0|0||0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|b|b|b|0|0|0|0|0|0|1|0|0|0|1|3|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|0|0|0|4|0|1|0|0|0|0|0|0|0|0|0|0|30/10/2017 0:00:00|
32DJN0012D|1|MATUTINO|CLUB DE LEONES|ZACATECAS|042|SOMBRERETE|0001|SOMBRERETE|CALLE MIGUEL HIDALGO COLONIA LA BLANCA|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0014Z|32FJZ0010I|32ADG0020V|0|I2017|0|1|0|0|0|0|1|0|10|0|0|0|0|0|0|0|0|0||10|0|9|1|10|0|9|1|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|b|b|b|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|06/11/2017 0:00:00|
32DJN0013C|1|MATUTINO|EVA SAMANO DE LOPEZ MATEOS|ZACATECAS|044|TABASCO|0001|TABASCO|CALLE MIGUEL ESCOBEDO|1|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0032O|32FJZ0007V|32ADG0003E|0|I2017|0|1|0|0|0|0|1|0|21|0|0|0|0|0|0|0|0|0||21|21|0|0|21|21|0|0|21|21|0|0|21|0|0|21|21|0|0|21|0|21|0|21|0|0|21|21|0|21|0|0|21|21|0|21|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|1|0|0|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|c|c|c|1|0|1|0|1|0|1|0|6|0|0|6|0|0|0|12|2|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|8|0|0|6|0|0|0|14|0|1|0|0|0|0|0|0|0|0|0|0|18/10/2017 0:00:00|
32DJN0014B|1|MATUTINO|GENARO CODINA|ZACATECAS|023|JUCHIPILA|0001|JUCHIPILA|CALLE DIEGO ZACATECAS|21|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0034M|32FJZ0007V|32ADG0003E|0|I2017|0|1|0|0|0|0|1|0|6|0|0|0|0|0|0|0|0|0||6|0|5|1|6|0|5|1|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|0|0|1|0|0|b|b|b|0|0|0|0|0|0|1|0|0|6|1|6|0|6|0|19|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|6|1|6|0|6|0|20|0|1|0|0|0|0|0|0|0|0|0|0|20/10/2017 0:00:00|
32DJN0015A|1|MATUTINO|FEDERICO GUILLERMO AUGUSTO FROEBEL|ZACATECAS|005|CALERA|0001|VÍCTOR ROSALES|CALLE NICOLAS BRAVO|602|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0018V|32FJZ0001A|32ADG0010O|0|I2017|0|1|0|0|0|0|1|0|15|1|0|0|0|0|0|0|0|0||16|14|0|1|15|14|0|1|15|4|10|0|4|10|0|14|14|0|0|14|14|0|0|14|0|0|14|14|0|14|0|0|14|14|0|14|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|1|0|0|0|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|c|c|c|1|0|1|0|1|0|1|0|2|0|2|1|0|0|1|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|2|1|0|0|1|6|0|1|0|0|0|0|0|0|0|0|0|0|26/10/2017 0:00:00|
32DJN0016Z|1|MATUTINO|DELFINA CASTORENA|ZACATECAS|025|LUIS MOYA|0001|LUIS MOYA|CALLE NICOLAS BRAVO|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0047Q|32FJZ0002Z|32ADG0019F|0|I2017|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|a|b|d|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|26/10/2017 0:00:00|
32DJN0017Z|1|MATUTINO|GABRIELA MISTRAL|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE LUIS REYES COLONIA FCO. E GARCIA|201|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0055Z|32FJZ0001A|32ADG0010O|0|I2017|0|1|0|0|0|0|1|0|15|0|0|0|0|0|0|0|0|0||15|15|0|0|15|15|0|0|15|15|0|0|15|0|0|15|0|15|0|15|15|0|0|15|0|0|15|15|0|15|0|0|15|15|15|0|0|0|0|0|1|0|0||1|0|0|0|0|0||0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|b|b|b|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|23/10/2017 0:00:00|
32DJN0018Y|1|MATUTINO|MARIA GUADALUPE VEGA DE LUEVANO|ZACATECAS|017|GUADALUPE|0001|GUADALUPE|CALLE FRANCISCO MARQUEZ FRACCIONAMIENTO EL PARAISO|5|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0054Z|32FJZ0002Z|32ADG0019F|0|I2017|0|1|0|0|0|0|1|0|2|0|0|0|0|0|0|0|0|0||2|0|0|2|2|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|1|0|0|1|1|0|1|0|0|0|0|1|0|0|0|0|1|0|0|A|A|A|0|0|0|0|0|0|1|0|1|1|1|3|0|1|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|3|0|1|0|7|0|1|0|0|0|0|0|0|0|0|0|0|08/12/2017 0:00:00|
32DJN0019X|1|MATUTINO|REPUBLICA DEL SALVADOR|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|CALLE NINGUNO|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0025E|32FJZ0003Z|32ADG0025Q|0|I2017|0|1|0|0|0|0|1|0|10|0|0|0|0|0|0|0|0|0||10|10|0|0|10|1|0|0|1|10|0|0|0|0|10|10|10|0|0|10|0|0|10|10|0|10|0|10|0|0|10|0|10|9|1|9|0|1|0|0|0|0|0||0|1|0|0|0|0||1|0|1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|B|C|C|0|0|1|0|1|0|1|0|0|0|1|0|0|0|0|1|2|0|0|0|0|0|0|2|0|0|0|1|0|0|0|1|2|0|1|1|0|0|0|4|0|1|0|0|0|0|0|0|0|0|0|0|31/10/2017 0:00:00|
32DJN0020M|1|MATUTINO|RAMON LOPEZ VELARDE|ZACATECAS|024|LORETO|0035|SAN MARCOS|PRIVADA FRANCISCO I.MADERO|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0062I|32FJZ0005X|32ADG0009Z|0|I2017|0|1|0|0|0|0|1|0|10|0|0|0|0|0|0|0|0|0||10|10|0|0|10|0|0|0|0|10|0|0|10|0|0|10|10|0|0|10|0|10|0|10|0|0|10|10|0|10|0|0|10|0|0|10|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|b|b|b|0|0|0|0|0|0|1|0|1|0|1|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|2|1|0|5|0|0|0|5|5|0|0|0|5|20/10/2017 0:00:00|
32DJN0021L|1|MATUTINO|ROSAURA ZAPATA|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE TERRAPLEN COLONIA CAMINERA|101|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0051C|32FJZ0001A|32ADG0010O|0|I2017|0|1|0|0|0|0|1|0|40|0|0|0|0|0|0|0|0|0||40|31|8|1|40|1|8|1|10|31|0|0|31|0|0|31|31|0|0|31|31|0|0|31|31|0|0|31|0|31|0|0|31|31|31|0|0|0|0|0|1|0|0||0|1|0|0|0|0||1|0|0|1|1|0|0|0|1|1|0|1|0|0|0|1|0|0|0|1|0|1|1|B|B|B|0|0|0|0|0|0|1|0|0|0|10|0|1|1|0|12|0|0|0|0|0|0|0|0|5|0|0|5|0|0|0|10|5|0|10|5|1|1|0|22|0|1|0|0|0|0|0|0|0|0|0|0|08/12/2017 0:00:00|
32DJN0022K|1|MATUTINO|JUVENTINO ROSAS|ZACATECAS|016|GENERAL PÁNFILO NATERA|0001|GENERAL PÁNFILO NATERA|CALLE JUVENTINO ROSAS|9|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0049O|32FJZ0002Z|32ADG0019F|0|I2017|0|1|0|0|0|0|1|0|16|0|0|0|0|0|0|0|0|0||16|8|6|2|16|0|0|0|0|4|4|0|0|0|8|8|0|0|8|8|0|0|8|8|0|0|8|8|0|0|8|0|8|0|0|8|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|a|a|a|0|0|0|0|0|0|1|0|0|1|1|1|0|1|0|4|3|1|0|0|0|0|0|4|0|0|0|0|0|0|0|0|3|2|1|1|0|1|0|8|0|1|0|0|0|0|0|0|0|0|0|0|24/10/2017 0:00:00|
32DJN0023J|1|MATUTINO|NIÑOS HEROES DE CHAPULTEPEC|ZACATECAS|017|GUADALUPE|0001|GUADALUPE|AVENIDA DEFENSA NACIONAL COL. ZONA INDUSTRIAL|7|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0053A|32FJZ0002Z|32ADG0019F|0|I2017|0|1|0|0|0|0|1|0|15|0|0|0|0|0|0|0|0|0||15|13|0|2|15|13|0|2|15|13|0|0|0|13|0|13|13|0|0|13|13|0|0|13|2|11|0|13|0|13|0|0|13|0|13|0|0|0|0|0|1|0|0||0|0|0|0|1|0||0|1|0|0|1|0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|b|b|b|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|27/10/2017 0:00:00|
32DJN0024I|1|MATUTINO|JUAN ENRIQUE PESTALOZZI|ZACATECAS|040|SAIN ALTO|0001|SAIN ALTO|CALLE 18 DE JULIO|25|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0017W|32FJZ0010I|32ADG0020V|0|I2017|0|1|0|0|0|0|1|0|22|0|2|0|0|0|0|2|0|0||24|21|0|1|22|0|0|1|1|21|0|0|21|0|0|21|21|0|0|21|0|0|21|21|0|0|21|21|0|21|0|0|21|21|0|21|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|1|0|1|1|b|b|a|0|0|0|0|0|0|1|0|3|0|0|2|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|2|0|0|0|5|1|0|25|0|0|0|25|25|0|0|0|25|30/10/2017 0:00:00|
32DJN0025H|1|MATUTINO|MIGUEL DE CERVANTES SAAVEDRA|ZACATECAS|017|GUADALUPE|0043|ZÓQUITE|CALLE ZOQUITE|0|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0064G|32FJZ0002Z|32ADG0019F|0|I2017|0|1|0|0|0|0|1|0|24|1|0|0|0|0|0|0|0|0||25|23|0|1|24|23|0|1|24|23|0|0|0|0|23|23|0|23|0|23|0|23|0|23|6|0|17|23|0|23|0|0|23|20|23|0|0|0|0|0|1|0|0||0|0|1|0|0|0||0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|b|b|b|0|0|0|0|0|0|1|0|1|0|2|1|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|2|1|0|0|0|4|0|1|0|0|0|0|0|0|0|0|0|0|30/10/2017 0:00:00|
32DJN0026G|1|MATUTINO|EL CHAMIZAL|ZACATECAS|019|JALPA|0001|JALPA|CALLE CONCORDIA|14|PÚBLICO|FEDERAL TRANSFERIDO|BÁSICA|PREESCOLAR|GENERAL|0|NO APLICA|0|NO APLICA|32FZP0033N|32FJZ0007V|32ADG0003E|0|I2017|0|1|0|0|0|0|1|0|6|0|0|0|0|0|0|0|0|0||6|5|0|1|6|0|0|1|1|5|0|0|0|0|5|5|5|0|0|5|0|0|5|5|5|0|0|5|0|5|0|0|5|5|0|5|0|0|0|0|0|0|0||0|0|0|0|0|0||0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|0|0|1|0|0|c|c|c|0|1|0|1|0|1|1|0|9|0|1|7|0|1|0|18|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|9|0|1|8|0|1|0|19|1|0|24|1|0|0|25|5|1|0|0|6|18/10/2017 0:00:00|
